CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90483610,2017,2017-06-22,9335,2017-05-31,2049,021125,,3,2,7,3801,0,1,1,,2,080,"I-80 E/B","5TH STREET UNDER-CROSSING",30.00,E,N,A,-,Y,,,80,,,,,,E,N,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,C,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,-,-,37.77838,-122.40071,"SAN FRANCISCO","SAN FRANCISCO",-122.40071319,37.7783838
90483546,2017,2017-06-22,9335,2017-06-05,0847,021672,,1,1,7,3801,0,1,1,,2,023,"I-280 N/B","THE N. ALEMANY BLVD O/C",357.00,S,N,A,-,Y,,,280,,,,,,N,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,-,-,37.73157,-122.41588,"SAN FRANCISCO","SAN FRANCISCO",-122.41594221,37.73190439
90481739,2017,2017-06-20,9350,2017-06-11,1831,021418,,7,2,7,3801,0,1,2,,2,020,"US-101 S/B","N. TOWER OF GGB",450.00,S,N,A,-,Y,,,101,,,,,,S,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,-,-,37.82549,-122.47932,"SAN FRANCISCO","SAN FRANCISCO",-122.47952201,37.82545966
90481358,2017,2017-06-20,9350,2017-06-16,1017,018802,,5,1,7,3801,0,1,2,,2,010,"US-101 S/B","GIRARD ROAD",50.00,N,N,A,-,Y,,,101,,,,,,S,Y,3,0,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,A,07,0,1,0,0,0,0,0,0,1,-,-,37.80327,-122.45184,"SAN FRANCISCO","SAN FRANCISCO",-122.45178991,37.80354854
90480167,2017,2017-06-19,9335,2017-06-08,1925,018688,,4,2,7,3801,0,1,1,,2,023,"I-280 S/B","JUSTIN DR. OVERPASS",7.00,N,N,B,-,Y,,,280,,,,,,S,Y,3,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,B,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,-,-,37.73165,-122.42602,"SAN FRANCISCO","SAN FRANCISCO",-122.42602252,37.73162452
90480132,2017,2017-06-19,9335,2017-06-07,1120,021672,,3,1,7,3801,0,1,2,,2,013,"US-101 S/B","THE FAITH ST. PEDESTRIAN O/C",150.00,S,N,A,B,Y,,,101,,,,,,S,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,-,-,37.74362,-122.40599,"SAN FRANCISCO","SAN FRANCISCO",-122.40605465,37.74367274
90480093,2017,2017-06-19,9335,2017-06-03,2153,021277,,6,2,7,3801,0,1,2,,2,013,"US-101 N/B","PAUL AVE",910.00,S,N,A,-,Y,,,101,,,,,,N,N,3,0,1,2,A,-,11,21954,A,N,G,B,E,A,H,-,D,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,-,-,37.72135,-122.40025,"SAN FRANCISCO","SAN FRANCISCO",-122.40016235,37.72138223
90480072,2017,2017-06-19,9335,2017-06-06,1840,021341,,2,2,7,3801,0,1,2,,2,015,"US-101 N/B","FOLSOM ST",54.00,S,N,A,-,Y,,,101,,,,,,N,N,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,-,-,37.76965,-122.41551,"SAN FRANCISCO","SAN FRANCISCO",-122.41550957,37.76966199
90480014,2017,2017-06-19,9335,2017-06-07,0832,021672,,3,1,7,3801,0,1,2,,2,014,"US-101 S/B","THE 23RD ST O/C",405.00,N,N,B,-,Y,,,101,,,,,,S,Y,4,0,4,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,4,0,0,0,0,0,0,-,-,37.75572,-122.40321,"SAN FRANCISCO","SAN FRANCISCO",-122.40325241,37.7557161
90479984,2017,2017-06-16,9335,2017-06-07,1650,013738,,3,2,7,3801,0,1,2,,2,014,"US-101 N/B","22 ND STREET",200.00,N,N,A,-,Y,,,101,,,,,,N,Y,3,0,1,2,A,-,07,21658,A,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,A,01,0,1,0,0,0,0,0,0,1,-,-,37.75737,-122.40382,"SAN FRANCISCO","SAN FRANCISCO",-122.40378591,37.75740434
90479418,2017,2017-06-16,9335,2017-06-03,1815,021284,,6,2,7,3801,0,1,2,,2,014,"US-101 S/B","23RD ST O/C",158.00,N,N,A,-,Y,,,101,,,,,,S,Y,3,0,3,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,2,0,0,0,0,0,0,-,-,37.755,-122.40327,"SAN FRANCISCO","SAN FRANCISCO",-122.4031872,37.75500762
90479251,2017,2017-06-15,9335,2017-06-05,2158,021646,,1,2,7,3801,0,1,1,,2,080,"I-80 W/B TO US-101 N/B","8TH ST",700.00,W,N,A,-,Y,,,80,,,,R,,W,Y,3,0,2,1,A,-,01,23152,A,M,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,2,0,0,0,0,0,0,0,-,-,37.77025,-122.40594,"SAN FRANCISCO","SAN FRANCISCO",-122.40594,37.77025
90479234,2017,2017-06-15,9335,2017-06-04,0245,021474,,7,3,7,3801,0,1,1,,1,081,"I-80 W/B","THE EMBARCADERO U/C",920.00,E,N,A,-,Y,,,80,,,,,,W,Y,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,E,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,-,-,37.79114,-122.38601,"SAN FRANCISCO","SAN FRANCISCO",-122.38558986,37.79068594
90479125,2017,2017-06-15,9335,2017-06-02,0049,021649,,5,3,7,3801,0,1,1,,1,083,"I-80 E/B","SFOBB CENTER ANCHORAGE",38.00,W,N,A,-,Y,,,80,,,,,,E,Y,4,0,1,2,A,-,01,23152,A,N,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,37.79799,-122.37798,"SAN FRANCISCO","SAN FRANCISCO",-122.37806263,37.79807828
90479055,2017,2017-06-15,9335,2017-05-30,1700,018688,,2,2,7,3801,0,1,2,,2,013,"US-101 N/B","25TH ST. OVERPASS",1800.00,S,N,B,-,Y,,,101,,,,,,N,Y,3,0,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,0,1,0,0,0,0,0,0,1,-,-,37.7476,-122.40425,"SAN FRANCISCO","SAN FRANCISCO",-122.40417613,37.74757698
90475242,2017,2017-06-15,9335,2017-06-05,0655,012827,,1,1,7,3801,0,1,1,,1,081,"I-80 W/B","TREASURE ISLAND.",600.00,W,N,A,-,Y,,,80,,,,,,W,Y,4,0,2,3,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,-,-,37.80775,-122.36773,"SAN FRANCISCO","SAN FRANCISCO",-122.36762581,37.80764182
90475184,2017,2017-06-12,9335,2017-05-24,1750,021474,,3,2,7,3801,0,1,2,,2,014,"US-101 N/B","23RD ST. PEDESTRIAN O/C",280.00,N,N,A,-,Y,,,101,,,,,,N,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,-,-,37.75755,-122.404,"SAN FRANCISCO","SAN FRANCISCO",-122.40396657,37.75758368
90475072,2017,2017-06-12,9335,2017-06-01,1734,013738,,4,2,7,3801,0,1,2,,2,014,"US-101 S/B","CESAR CHAVEZ ST",200.00,S,N,A,-,Y,,,,,,,,,,Y,4,0,3,4,A,-,03,22350,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,3,0,0,0,0,0,0,-,-,37.74871,-122.74871,"SAN FRANCISCO","SAN FRANCISCO",-122.40397918,37.74884548
90475068,2017,2017-06-12,9335,2017-06-01,1625,017672,,4,2,7,3801,0,1,1,,2,080,"I-80 E/B","5TH STREET ON-RAMP",75.00,W,N,A,-,Y,,,80,,,,,,E,Y,2,0,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,D,22,1,0,0,0,0,0,0,0,1,-,-,37.78016,-122.39866,"SAN FRANCISCO","SAN FRANCISCO",-122.39863435,37.78012946
90475047,2017,2017-06-12,9335,2017-05-21,2245,021277,,7,3,7,3801,0,1,1,,2,022,"I-280 N/B","SAN JOSE AVENUE",560.00,S,N,A,-,Y,,,280,,,,,,N,Y,3,0,1,3,A,-,02,22400,A,F,E,I,A,A,H,-,D,D,0,,,,,Y,,-,99,0,1,0,0,0,0,0,0,0,-,-,37.71688,-122.44883,"SAN FRANCISCO","SAN FRANCISCO",-122.4487514,37.71684418
90475007,2017,2017-06-12,9335,2017-06-01,1615,018688,,4,2,7,3801,0,1,1,,2,023,"I-280 N/B","US-101 N/B PHYSICAL GORE POINT",200.00,S,N,A,-,Y,,,280,,,,,,N,Y,3,0,2,2,A,-,07,21658,A,N,C,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,1,1,0,0,0,0,0,0,-,-,37.73393,-122.41032,"SAN FRANCISCO","SAN FRANCISCO",-122.41030693,37.73389595
90475002,2017,2017-06-12,9335,2017-05-31,0818,012827,,3,1,7,3801,0,1,1,,2,080,"I-80 W/B","FREMONT/FOLSOM ST. OFF",200.00,W,N,A,-,Y,,,80,,,,,,W,N,4,0,1,2,A,-,03,22350,,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,1,0,0,0,0,0,1,-,-,37.78483,-122.39309,"SAN FRANCISCO","SAN FRANCISCO",-122.39306491,37.78476564
90474805,2017,2017-06-09,9335,2017-05-30,1620,021644,,2,2,7,3801,0,1,2,,2,013,"US-101 S/B TO SILVER AVE. OFF RAMP","SILVER AVE. O/C",330.00,S,N,A,-,Y,,,101,,,,R,,S,Y,4,0,2,4,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,0,2,0,0,0,0,0,0,-,-,37.73172,-122.40497,"SAN FRANCISCO","SAN FRANCISCO",-122.40497,37.73172
90474303,2017,2017-06-09,9335,2017-05-31,1752,021459,,3,2,7,3801,0,1,1,,2,023,"I-280 S/B","MISSION ST",460.00,S,N,B,-,Y,,,280,,,,,,S,N,4,0,1,2,A,-,03,22350,,M,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,-,-,37.73231,-122.4298,"SAN FRANCISCO","SAN FRANCISCO",-122.42980189,37.73229273
90474243,2017,2017-06-08,9335,2017-05-29,1210,021672,,1,1,7,3801,0,1,1,,2,022,"I-280 S/B","ALEMANY BLVD U/C",387.00,S,N,B,-,Y,,,280,,,,,,S,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,-,-,37.71055,-122.4628,"SAN FRANCISCO","SAN FRANCISCO",-122.46279997,37.71054749
